info face="Otari-Bold-Limited" size=40 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1
common lineHeight=51 base=26 scaleW=256 scaleH=256 pages=1 packed=0
page id=0 file="otari.png"
chars count=79
char id=32   x=0     y=0     width=0     height=0     xoffset=0     yoffset=38    xadvance=11     page=0  chnl=0 
char id=106   x=0     y=0     width=14     height=42     xoffset=-2     yoffset=9    xadvance=11     page=0  chnl=0 
char id=74   x=14     y=0     width=15     height=41     xoffset=-2     yoffset=9    xadvance=13     page=0  chnl=0 
char id=41   x=29     y=0     width=14     height=40     xoffset=0     yoffset=6    xadvance=15     page=0  chnl=0 
char id=40   x=43     y=0     width=15     height=40     xoffset=1     yoffset=6    xadvance=15     page=0  chnl=0 
char id=81   x=58     y=0     width=29     height=37     xoffset=0     yoffset=9    xadvance=29     page=0  chnl=0 
char id=38   x=87     y=0     width=27     height=34     xoffset=1     yoffset=9    xadvance=27     page=0  chnl=0 
char id=108   x=114     y=0     width=15     height=34     xoffset=-1     yoffset=7    xadvance=12     page=0  chnl=0 
char id=107   x=129     y=0     width=23     height=34     xoffset=-1     yoffset=7    xadvance=20     page=0  chnl=0 
char id=104   x=152     y=0     width=25     height=34     xoffset=-1     yoffset=7    xadvance=22     page=0  chnl=0 
char id=102   x=177     y=0     width=21     height=34     xoffset=-1     yoffset=7    xadvance=14     page=0  chnl=0 
char id=100   x=198     y=0     width=24     height=34     xoffset=0     yoffset=7    xadvance=22     page=0  chnl=0 
char id=98   x=222     y=0     width=24     height=34     xoffset=-1     yoffset=7    xadvance=22     page=0  chnl=0 
char id=37   x=0     y=42     width=35     height=33     xoffset=0     yoffset=9    xadvance=34     page=0  chnl=0 
char id=121   x=35     y=42     width=26     height=33     xoffset=-3     yoffset=18    xadvance=19     page=0  chnl=0 
char id=113   x=61     y=42     width=24     height=33     xoffset=0     yoffset=18    xadvance=22     page=0  chnl=0 
char id=103   x=85     y=42     width=23     height=33     xoffset=-1     yoffset=18    xadvance=20     page=0  chnl=0 
char id=63   x=108     y=42     width=19     height=32     xoffset=0     yoffset=9    xadvance=18     page=0  chnl=0 
char id=112   x=127     y=42     width=24     height=32     xoffset=-1     yoffset=18    xadvance=22     page=0  chnl=0 
char id=105   x=151     y=42     width=15     height=32     xoffset=-1     yoffset=9    xadvance=13     page=0  chnl=0 
char id=89   x=166     y=42     width=28     height=32     xoffset=-2     yoffset=9    xadvance=21     page=0  chnl=0 
char id=88   x=194     y=42     width=31     height=32     xoffset=-1     yoffset=9    xadvance=24     page=0  chnl=0 
char id=87   x=0     y=75     width=39     height=32     xoffset=-2     yoffset=9    xadvance=33     page=0  chnl=0 
char id=86   x=39     y=75     width=30     height=32     xoffset=-2     yoffset=9    xadvance=23     page=0  chnl=0 
char id=85   x=69     y=75     width=25     height=32     xoffset=0     yoffset=9    xadvance=26     page=0  chnl=0 
char id=83   x=94     y=75     width=23     height=32     xoffset=0     yoffset=9    xadvance=22     page=0  chnl=0 
char id=82   x=117     y=75     width=25     height=32     xoffset=0     yoffset=9    xadvance=24     page=0  chnl=0 
char id=80   x=142     y=75     width=24     height=32     xoffset=0     yoffset=9    xadvance=22     page=0  chnl=0 
char id=79   x=166     y=75     width=29     height=32     xoffset=0     yoffset=9    xadvance=29     page=0  chnl=0 
char id=78   x=195     y=75     width=26     height=32     xoffset=0     yoffset=9    xadvance=27     page=0  chnl=0 
char id=77   x=221     y=75     width=33     height=32     xoffset=1     yoffset=9    xadvance=33     page=0  chnl=0 
char id=76   x=0     y=107     width=24     height=32     xoffset=0     yoffset=9    xadvance=21     page=0  chnl=0 
char id=75   x=24     y=107     width=26     height=32     xoffset=0     yoffset=9    xadvance=24     page=0  chnl=0 
char id=73   x=50     y=107     width=14     height=32     xoffset=0     yoffset=9    xadvance=13     page=0  chnl=0 
char id=72   x=64     y=107     width=29     height=32     xoffset=0     yoffset=9    xadvance=28     page=0  chnl=0 
char id=71   x=93     y=107     width=27     height=32     xoffset=0     yoffset=9    xadvance=27     page=0  chnl=0 
char id=68   x=120     y=107     width=28     height=32     xoffset=0     yoffset=9    xadvance=27     page=0  chnl=0 
char id=67   x=148     y=107     width=27     height=32     xoffset=0     yoffset=9    xadvance=26     page=0  chnl=0 
char id=66   x=175     y=107     width=26     height=32     xoffset=0     yoffset=9    xadvance=25     page=0  chnl=0 
char id=33   x=201     y=107     width=10     height=31     xoffset=1     yoffset=10    xadvance=12     page=0  chnl=0 
char id=90   x=211     y=107     width=25     height=31     xoffset=-1     yoffset=10    xadvance=24     page=0  chnl=0 
char id=84   x=0     y=139     width=31     height=31     xoffset=-3     yoffset=10    xadvance=20     page=0  chnl=0 
char id=70   x=31     y=139     width=24     height=31     xoffset=0     yoffset=10    xadvance=20     page=0  chnl=0 
char id=69   x=55     y=139     width=23     height=31     xoffset=0     yoffset=10    xadvance=23     page=0  chnl=0 
char id=65   x=78     y=139     width=28     height=31     xoffset=-1     yoffset=10    xadvance=24     page=0  chnl=0 
char id=35   x=106     y=139     width=33     height=30     xoffset=1     yoffset=11    xadvance=34     page=0  chnl=0 
char id=57   x=139     y=139     width=21     height=30     xoffset=0     yoffset=18    xadvance=20     page=0  chnl=0 
char id=56   x=160     y=139     width=21     height=30     xoffset=0     yoffset=11    xadvance=20     page=0  chnl=0 
char id=54   x=181     y=139     width=21     height=30     xoffset=0     yoffset=11    xadvance=20     page=0  chnl=0 
char id=55   x=202     y=139     width=21     height=29     xoffset=-1     yoffset=18    xadvance=18     page=0  chnl=0 
char id=53   x=223     y=139     width=19     height=29     xoffset=1     yoffset=18    xadvance=19     page=0  chnl=0 
